"Source","Name","Address","Latitude","Longitude","Phone","Email","Website","OsmUrl"
"OpenStreetMap","2A-xpert","","50,7795584","4,2433244","+32 2 377 35 38","","https://2a-xpert.be","https://www.openstreetmap.org/node/11649659574"
"OpenStreetMap","Abita Immo","","50,8475471","4,4090739","","","","https://www.openstreetmap.org/node/4355532915"
"OpenStreetMap","Afimo","Pastorijstraat 4","50,9093232","4,3549042","","","https://afimo.be/","https://www.openstreetmap.org/node/6273452232"
"OpenStreetMap","Agence Châtelain","","50,8153738","4,3886986","","","","https://www.openstreetmap.org/node/6418483654"
"OpenStreetMap","Agence Immobilière Schmidt","","50,8307507","4,3992016","","","","https://www.openstreetmap.org/node/11219488722"
"OpenStreetMap","Agence Wellington","","50,7212277","4,3981999","+32 2 354 25 25","","https://www.agencewellington.be/","https://www.openstreetmap.org/node/10173649052"
"OpenStreetMap","Agencimmo","","50,8486675","4,3524652","","","https://agencimmo.be/","https://www.openstreetmap.org/node/4413385312"
"OpenStreetMap","Albert Immo","","50,737528","4,2375758","+32 800 25 237","halle@albert.immo","https://www.albert.immo/nl/kantoor/halle","https://www.openstreetmap.org/node/10299239863"
"OpenStreetMap","Altro-Vastgoed","Kerklaan 67 1830 Machelen","50,9134298","4,426112","+32 2 304 04 01","","https://altro-vastgoed.be","https://www.openstreetmap.org/node/11185058993"
"OpenStreetMap","Arcadia","","50,8576312","4,3870666","+32 2 307 33 77","","https://arcadiabelgium.be/","https://www.openstreetmap.org/node/9988838989"
"OpenStreetMap","Astrid Immobilier","","50,8734581","4,3257626","+32 2 662 00 31","info@astridimmobilier.be","https://astridimmobilier.be/","https://www.openstreetmap.org/node/6970161511"
"OpenStreetMap","Barnes","","50,8197945","4,3710859","","","","https://www.openstreetmap.org/node/6780405135"
"OpenStreetMap","Berth Immobiliën","","50,7359029","4,2350202","+32 2 356 04 34","","https://www.berth.be","https://www.openstreetmap.org/node/5086271772"
"OpenStreetMap","BIFC","","50,8458264","4,3481934","","","http://www.bifc.be","https://www.openstreetmap.org/node/4361635916"
"OpenStreetMap","Boterbergh Pigeons","","50,8888521","4,2325591","+32 493 62 19 77","","https://boterbergh-pigeons-gcv.business.site/","https://www.openstreetmap.org/node/7852350257"
"OpenStreetMap","Bureau immobilier belge","","50,8247975","4,3996847","","","","https://www.openstreetmap.org/node/12735500072"
"OpenStreetMap","By The Way","","50,8422826","4,4088626","+32 2 734 00 36","","https://bytheway.immo/","https://www.openstreetmap.org/node/2325439339"
"OpenStreetMap","Casalina","","50,863837","4,4176762","","","","https://www.openstreetmap.org/node/6296674542"
"OpenStreetMap","CBI Immo","Verbeytstraat 1","50,9077066","4,3539061","+32 2 267 60 75","strombeek@cbi-immo.be","https://www.cbi-immo.be","https://www.openstreetmap.org/node/8345270284"
"OpenStreetMap","CBRE","","50,8383376","4,3596072","+32 2 643 33 33","belgium@cbre.com","https://www.cbre.be","https://www.openstreetmap.org/node/9038517693"
"OpenStreetMap","CBRE","","50,8151935","4,3739095","+32 2 643 33 33","","https://www.cbre.be/","https://www.openstreetmap.org/node/5552188022"
"OpenStreetMap","Century 21","","50,8733691","4,3245158","+32 2 424 21 21","","https://www.century21.be/fr/agence/century-21-miroir/cVqBaHQBXt-nJTnOl6Xl","https://www.openstreetmap.org/node/9700746960"
"OpenStreetMap","Century 21","Parklaan 59 1930 Zaventem","50,8861438","4,4743939","+32 2 640 95 73","","https://www.century21.be/nl/kantoor/century-21-home-sweet-home/2XiBaHQBHQt8ouNfYYuV","https://www.openstreetmap.org/node/8901736322"
"OpenStreetMap","Century 21","","50,8949491","4,3870098","+32 2 268 21 50","","https://www.century21.be/fr/agence/century-21-best-house/XVqBaHQBXt-nJTnOkqVF","https://www.openstreetmap.org/node/9906391519"
"OpenStreetMap","Century 21","","50,8371167","4,3953183","","","","https://www.openstreetmap.org/node/3568643796"
"OpenStreetMap","Century 21","","50,7209741","4,3976484","","","","https://www.openstreetmap.org/node/10173579714"
"OpenStreetMap","Century 21","","50,8196229","4,3865728","","","","https://www.openstreetmap.org/node/6394781032"
"OpenStreetMap","Century 21","","50,8202893","4,3418489","","","","https://www.openstreetmap.org/node/11974638916"
"OpenStreetMap","Century 21","","50,8718177","4,3923812","+32 2 241 21 21","info@century21everone.be","https://agence-immobiliere.brussels/","https://www.openstreetmap.org/node/12417124378"
"OpenStreetMap","Century 21","Gemeenteplein 7","50,7677474","4,4729911","","","","https://www.openstreetmap.org/node/7230425681"
"OpenStreetMap","Century 21 Astrid Anderlecht","","50,8300659","4,2984717","+32 2 219 21 21","info@century21astrid.be","https://immo-anderlecht.be/","https://www.openstreetmap.org/node/12741616609"
"OpenStreetMap","Century 21 Capitale","","50,8458302","4,3877722","","","","https://www.openstreetmap.org/node/11932513480"
"OpenStreetMap","Century 21 De Wand","","50,8962848","4,3580952","+32 2 269 32 22","info@century21dewand.be","https://www.century21.be/fr/agence/century-21-de-wand/m75UQoQBGmts1erg4uBH","https://www.openstreetmap.org/node/4640330025"
"OpenStreetMap","Century 21 Expo","","50,8949435","4,330486","+32 2 476 21 21","info@century21expo.be","https://www.century21.be/fr/agence/century-21-expo/hFqBaHQBXt-nJTnOnaVE","https://www.openstreetmap.org/node/8684993388"
"OpenStreetMap","Century 21 New Home","Wezembeeklaan - Avenue de Wezembeek 28","50,8486782","4,4637626","+32 2 880 21 21","","https://www.century21.be/","https://www.openstreetmap.org/node/4419689784"
"OpenStreetMap","Century 21 Pro Domo","","50,7323198","4,2374423","+32 2 360 15 15","","https://www.century21.be/nl/kantoor/century-21-pro-domo/mFqBaHQBXt-nJTnO-KUq","https://www.openstreetmap.org/node/4319821696"
"OpenStreetMap","Century21","Dorpsplein 3 1830","50,9129927","4,4358634","","","","https://www.openstreetmap.org/node/1838255554"
"OpenStreetMap","Châtelain","","50,7913586","4,3746446","","","","https://www.openstreetmap.org/node/8500123120"
"OpenStreetMap","Claes & Willems","","50,7347236","4,2357116","+32 2 307 80 70","","https://www.claeswillems.be/nl/contact/claes-willems-halle-halle","https://www.openstreetmap.org/node/9749066895"
"OpenStreetMap","Co-Immex","","50,8281295","4,3416313","","","","https://www.openstreetmap.org/node/9532391802"
"OpenStreetMap","Co-immo","","50,9110414","4,5120998","","","","https://www.openstreetmap.org/node/6116384993"
"OpenStreetMap","CODBEL","","50,8571683","4,3864877","","","https://www.codabel.com","https://www.openstreetmap.org/node/9164872738"
"OpenStreetMap","Colliers Property Management Belgium","","50,8516402","4,3679617","","","","https://www.openstreetmap.org/node/11571648380"
"OpenStreetMap","Colorcasa","","50,9299713","4,3818361","","","","https://www.openstreetmap.org/way/258345742"
"OpenStreetMap","Contigo","","50,8477317","4,3846599","+32 2 280 69 40","","","https://www.openstreetmap.org/node/10298345514"
"OpenStreetMap","De Immobiliers","","50,7357723","4,2372418","+32 2 356 00 00","","https://www.deimmobiliers.be","https://www.openstreetmap.org/node/10912034110"
"OpenStreetMap","Destryker","","50,7292217","4,2423415","+32 2 356 61 60","","https://destryker.be/","https://www.openstreetmap.org/node/4312548718"
"OpenStreetMap","Dewaele","","50,8176802","4,3647076","","","https://www.dewaele.com","https://www.openstreetmap.org/node/10648725393"
"OpenStreetMap","Dewaele","","50,8644416","4,3439732","+32 2 223 23 23","brussels@dewaele.com","https://www.dewaele.com/","https://www.openstreetmap.org/node/13929634318"
"OpenStreetMap","Dexin","","50,8205631","4,3709042","+32 2 340 02 40","info@dexin.be","https://www.dexin.be/","https://www.openstreetmap.org/node/11279419247"
"OpenStreetMap","Els Decan","Drijpikkelstraat 21","50,9183408","4,3369987","","","","https://www.openstreetmap.org/way/208594699"
"OpenStreetMap","Engel & Völkers","","50,8407912","4,3692563","+32 2 613 16 64","","https://www.engelvoelkers.com/fr-be/belgique/","https://www.openstreetmap.org/node/11805188657"
"OpenStreetMap","Engel & Völkers","","50,8392663","4,4641503","","","","https://www.openstreetmap.org/node/475605473"
"OpenStreetMap","Engel & Völkers","","50,8397694","4,3557057","","","","https://www.openstreetmap.org/node/5672193612"
"OpenStreetMap","Engel & Völkers","","50,8177334","4,3550086","","","","https://www.openstreetmap.org/node/2167729842"
"OpenStreetMap","ERA","","50,8116816","4,4232706","","","","https://www.openstreetmap.org/node/12065951368"
"OpenStreetMap","ERA Châtelain","","50,8244501","4,3605992","","","","https://www.openstreetmap.org/node/4355624151"
"OpenStreetMap","ERA Châtelain","","50,8435108","4,3840917","","","","https://www.openstreetmap.org/node/11269825414"
"OpenStreetMap","ERA Immpuls","Stationsplein 7A","50,7708541","4,5315441","","","","https://www.openstreetmap.org/way/458162402"
"OpenStreetMap","ERA Innova","","50,7314028","4,2307894","+32 2 523 55 52","","https://www.era.be/nl/era-innova/halle","https://www.openstreetmap.org/node/7798054337"
"OpenStreetMap","Espace immo","","50,8536154","4,3518149","","","","https://www.openstreetmap.org/node/13275852563"
"OpenStreetMap","Europea","","50,8442512","4,3577892","","","https://www.europeaforowners.com/","https://www.openstreetmap.org/node/2514211598"
"OpenStreetMap","Eventimmo","","50,8496897","4,3908024","","","https://www.eventimmo.be","https://www.openstreetmap.org/node/2338214518"
